filename,true_label,predicted_label
Pepper__bell___Bacterial_spot/006adb74-934f-448f-a14f-62181742127b___JR_B.Spot 3395.JPG,Pepper__bell___Bacterial_spot,Tomato_Septoria_leaf_spot
Pepper__bell___Bacterial_spot/00f2e69a-1e56-412d-8a79-fdce794a17e4___JR_B.Spot 3132.JPG,Pepper__bell___Bacterial_spot,Tomato_Septoria_leaf_spot
Pepper__bell___Bacterial_spot/0495b4d4-66a4-438c-862d-c483f08e4a95___JR_B.Spot 3288.JPG,Pepper__bell___Bacterial_spot,Tomato_Septoria_leaf_spot
Pepper__bell___Bacterial_spot/05af15b5-fbda-4dab-a4ba-c783d531d24d___JR_B.Spot 3150.JPG,Pepper__bell___Bacterial_spot,Tomato_Septoria_leaf_spot
Pepper__bell___Bacterial_spot/0a0dbf1f-1131-496f-b337-169ec6693e6f___NREC_B.Spot 9241.JPG,Pepper__bell___Bacterial_spot,Tomato_Septoria_leaf_spot
Pepper__bell___Bacterial_spot/0a9cfb27-280e-475a-bbb4-8eeaeff38b8c___NREC_B.Spot 9177.JPG,Pepper__bell___Bacterial_spot,Pepper__bell___healthy
Pepper__bell___Bacterial_spot/0c1eb1fd-9e3a-4396-81bc-7d1d3eccc5ed___JR_B.Spot 3369.JPG,Pepper__bell___Bacterial_spot,Tomato__Tomato_YellowLeaf__Curl_Virus
Pepper__bell___Bacterial_spot/0d524d59-fb02-481b-9034-64f1de0da914___NREC_B.Spot 9060.JPG,Pepper__bell___Bacterial_spot,Tomato_Septoria_leaf_spot
Pepper__bell___Bacterial_spot/1044c742-39a0-4b1a-984f-3cb2bdeda94b___NREC_B.Spot 9219.JPG,Pepper__bell___Bacterial_spot,Tomato_Septoria_leaf_spot
Pepper__bell___Bacterial_spot/1092e87d-5d66-43cd-8344-43b393d86065___NREC_B.Spot 9244.JPG,Pepper__bell___Bacterial_spot,Pepper__bell___healthy
Pepper__bell___Bacterial_spot/12c953a0-bd3e-45d0-aaea-5139f5d63e01___JR_B.Spot 8863.JPG,Pepper__bell___Bacterial_spot,Pepper__bell___healthy
Pepper__bell___Bacterial_spot/12c9c98f-afc9-4c12-8a97-007e5a40712a___NREC_B.Spot 9053.JPG,Pepper__bell___Bacterial_spot,Tomato_Early_blight
Pepper__bell___Bacterial_spot/15f3b9e4-9127-4404-904b-173dbe878fd6___JR_B.Spot 3226.JPG,Pepper__bell___Bacterial_spot,Potato___Early_blight
Pepper__bell___Bacterial_spot/162a3375-31e6-48f4-9b78-ab35054fb86c___JR_B.Spot 3397.JPG,Pepper__bell___Bacterial_spot,Tomato_Septoria_leaf_spot
Pepper__bell___Bacterial_spot/168a11c9-159b-468c-a6d9-07d0b61c42c9___JR_B.Spot 3193.JPG,Pepper__bell___Bacterial_spot,Tomato_Septoria_leaf_spot
Pepper__bell___Bacterial_spot/17000d8e-8095-4f00-b704-b94b1c531d8d___JR_B.Spot 3384.JPG,Pepper__bell___Bacterial_spot,Tomato_Septoria_leaf_spot
Pepper__bell___Bacterial_spot/17557939-f9e2-435a-a4e7-f4d3cff8aa8b___JR_B.Spot 3107.JPG,Pepper__bell___Bacterial_spot,Tomato_Septoria_leaf_spot
Pepper__bell___Bacterial_spot/17c4557b-7a8f-4ded-b11c-6c5ba3532f37___JR_B.Spot 8824.JPG,Pepper__bell___Bacterial_spot,Tomato_Septoria_leaf_spot
Pepper__bell___Bacterial_spot/1b73d0ec-bad1-4d2d-878e-6aa209aa39d2___JR_B.Spot 9086.JPG,Pepper__bell___Bacterial_spot,Tomato_Septoria_leaf_spot
Pepper__bell___Bacterial_spot/20a9aed4-ba56-413d-b88d-f4491cf184b3___JR_B.Spot 3265.JPG,Pepper__bell___Bacterial_spot,Tomato_Septoria_leaf_spot
Pepper__bell___Bacterial_spot/260e0075-466d-4aa2-8ad6-825cce898cdb___JR_B.Spot 9065.JPG,Pepper__bell___Bacterial_spot,Tomato_Septoria_leaf_spot
Pepper__bell___Bacterial_spot/28462e1b-741c-4949-884f-e5c35375dab4___JR_B.Spot 3111.JPG,Pepper__bell___Bacterial_spot,Tomato_Septoria_leaf_spot
Pepper__bell___Bacterial_spot/2c4a898a-9812-423b-bd8a-419a09699270___JR_B.Spot 8853.JPG,Pepper__bell___Bacterial_spot,Pepper__bell___healthy
Pepper__bell___Bacterial_spot/301b41f3-647f-4bd2-9adb-ef98c8b8c238___JR_B.Spot 3399.JPG,Pepper__bell___Bacterial_spot,Tomato_Septoria_leaf_spot
Pepper__bell___Bacterial_spot/30559581-e3ea-4ac4-8e8b-ff8bbc44b014___JR_B.Spot 8832.JPG,Pepper__bell___Bacterial_spot,Tomato_Septoria_leaf_spot
Pepper__bell___healthy/07f381f7-bc63-4e41-8bcc-6c5954a14c03___JR_HL 8326.JPG,Pepper__bell___healthy,Tomato__Target_Spot
Pepper__bell___healthy/0b796b7a-dfc8-47f7-9970-8373263c6408___JR_HL 5948.JPG,Pepper__bell___healthy,Pepper__bell___Bacterial_spot
Pepper__bell___healthy/0de13a24-e542-45a2-be5a-8db7d8d858db___JR_HL 5982.JPG,Pepper__bell___healthy,Tomato_Septoria_leaf_spot
Pepper__bell___healthy/0e05c3e0-7766-4049-b7a8-563b5c028c33___JR_HL 8828.JPG,Pepper__bell___healthy,Tomato_Septoria_leaf_spot
Pepper__bell___healthy/11f58a03-e692-48ef-9ede-b97e5e732224___JR_HL 7912.JPG,Pepper__bell___healthy,Tomato_Septoria_leaf_spot
Pepper__bell___healthy/1d0430f7-af9b-4e3d-9d4a-47cf676556fe___JR_HL 5938.JPG,Pepper__bell___healthy,Pepper__bell___Bacterial_spot
Pepper__bell___healthy/3306b49b-e3b3-4450-8609-ae44ab2b6593___bell-pepper-plant-61726.jpg,Pepper__bell___healthy,Pepper__bell___Bacterial_spot
Potato___Early_blight/00d8f10f-5038-4e0f-bb58-0b885ddc0cc5___RS_Early.B 8722.JPG,Potato___Early_blight,Tomato_Early_blight
Potato___Early_blight/0ad3ba53-f01b-403b-a99d-5991eed85045___RS_Early.B 7600.JPG,Potato___Early_blight,Tomato_Septoria_leaf_spot
Potato___Early_blight/22d1678a-3abd-4fe6-ac13-b654e2589280___RS_Early.B 8523.JPG,Potato___Early_blight,Pepper__bell___healthy
Potato___Early_blight/25642761-2905-48af-b8da-1064a0f6b876___RS_Early.B 6831.JPG,Potato___Early_blight,Tomato_healthy
Potato___Early_blight/349730da-a627-4da6-90d5-707c4a3dba88___RS_Early.B 7553.JPG,Potato___Early_blight,Tomato_Septoria_leaf_spot
Potato___Late_blight/00695906-210d-4a9d-822e-986a17384115___RS_LB 4026.JPG,Potato___Late_blight,Pepper__bell___healthy
Potato___Late_blight/0085ef03-aec3-431a-99a1-de286e10c0cf___RS_LB 2949.JPG,Potato___Late_blight,Tomato_healthy
Potato___Late_blight/00b1f292-23dd-44d4-aad3-c1ffb6a6ad5a___RS_LB 4479.JPG,Potato___Late_blight,Potato___Early_blight
Potato___Late_blight/0114b195-844c-4978-93a9-b0d5aae010f1___RS_LB 2738.JPG,Potato___Late_blight,Tomato_Late_blight
Potato___Late_blight/01270f5c-a44b-4da7-9398-289088c197ab___RS_LB 2517.JPG,Potato___Late_blight,Tomato_Spider_mites_Two_spotted_spider_mite
Potato___Late_blight/01ad74ce-eb28-42c7-9204-778d17cfd45c___RS_LB 2669.JPG,Potato___Late_blight,Tomato_Late_blight
Potato___Late_blight/02212653-e92b-49aa-96b7-9497af51e502___RS_LB 3151.JPG,Potato___Late_blight,Tomato_Late_blight
Potato___Late_blight/025f3c76-6d6c-4dad-ba22-e3e72d084ef1___RS_LB 3105.JPG,Potato___Late_blight,Potato___Early_blight
Potato___Late_blight/030e8945-d3ce-4ad3-8a91-a14c18285249___RS_LB 2532.JPG,Potato___Late_blight,Tomato_healthy
Potato___Late_blight/031672c9-bf0a-46bf-8b52-d7cdc067612e___RS_LB 5019.JPG,Potato___Late_blight,Tomato_Septoria_leaf_spot
Potato___Late_blight/0396e413-e165-427a-ba72-04cbae7b8ab0___RS_LB 4751.JPG,Potato___Late_blight,Potato___Early_blight
Potato___Late_blight/03bab48b-962b-4c08-bc98-da95237d20ac___RS_LB 3190.JPG,Potato___Late_blight,Potato___Early_blight
Potato___Late_blight/0441138d-5f9f-4ede-ab9a-49edabc605b3___RS_LB 4235.JPG,Potato___Late_blight,Tomato_Spider_mites_Two_spotted_spider_mite
Potato___Late_blight/04bbcc55-93d3-4a19-9137-8de036a8a4db___RS_LB 2647.JPG,Potato___Late_blight,Tomato_Late_blight
Potato___Late_blight/04ce7b2d-5e41-43c6-9e11-e1bc4f5e4cca___RS_LB 3224.JPG,Potato___Late_blight,Potato___Early_blight
Potato___Late_blight/04fe5855-ec9c-40b3-9893-ca8addc236bd___RS_LB 4913.JPG,Potato___Late_blight,Potato___Early_blight
Potato___Late_blight/050b6d37-4056-4c6c-8359-d7823a488531___RS_LB 3944.JPG,Potato___Late_blight,Potato___Early_blight
Potato___Late_blight/0525ac6e-1d1f-4866-89bd-af4b8ba9c46b___RS_LB 4814.JPG,Potato___Late_blight,Potato___Early_blight
Potato___Late_blight/053c5330-129d-4515-84da-82a701710723___RS_LB 4576.JPG,Potato___Late_blight,Potato___Early_blight
Potato___Late_blight/05817623-2c4e-4517-88a1-fe81b9a73742___RS_LB 3920.JPG,Potato___Late_blight,Potato___Early_blight
Potato___Late_blight/059c9129-51b7-4d6b-9b57-f22e87568a0a___RS_LB 5118.JPG,Potato___Late_blight,Tomato__Target_Spot
Potato___Late_blight/05a51957-779c-4a2f-bf2a-d1fb03947793___RS_LB 4772.JPG,Potato___Late_blight,Potato___Early_blight
Potato___Late_blight/0651be8e-a2d1-4b8a-97b8-1dc89d79fd26___RS_LB 3261.JPG,Potato___Late_blight,Potato___Early_blight
